name,category,row_id,ingredient_number,ingredient,measure,measure_number
Gauguin,Cocktail Classics,1,1,light rum,2 oz,2
Gauguin,Cocktail Classics,1,3,lemon juice,1 oz,1
Gauguin,Cocktail Classics,1,4,lime juice,1 oz,1
Fort Lauderdale,Cocktail Classics,2,1,light rum,1.5 oz,1.5
Fort Lauderdale,Cocktail Classics,2,2,sweet vermouth,.5 oz,0.5
Fort Lauderdale,Cocktail Classics,2,3,orange juice,.25 oz,0.25
Fort Lauderdale,Cocktail Classics,2,4,lime juice,.25 oz,0.25
Cuban Cocktail No. 1,Cocktail Classics,4,1,lime juice,.5 oz,0.5
Cuban Cocktail No. 1,Cocktail Classics,4,2,powdered sugar,.5 oz,0.5
Cuban Cocktail No. 1,Cocktail Classics,4,3,light rum,2 oz,2
Cool Carlos,Cocktail Classics,5,1,dark rum,1.5 oz,1.5
Cool Carlos,Cocktail Classics,5,2,cranberry juice,2 oz,2
Cool Carlos,Cocktail Classics,5,3,pineapple juice,2 oz,2
Cool Carlos,Cocktail Classics,5,4,orange juice,1 oz,1
John Collins,Whiskies,6,1,bourbon whiskey,2 oz,2
John Collins,Whiskies,6,2,lemon juice,1 oz,1
John Collins,Whiskies,6,3,simple syrup,.5 oz,0.5
Cherry Rum,Cocktail Classics,7,1,light rum,1.25 oz,1.25
Cherry Rum,Cocktail Classics,7,2,cherry flavored brandy,1.5 oz,1.5
Cherry Rum,Cocktail Classics,7,3,light cream,1 oz,1
Casa Blanca,Cocktail Classics,8,1,light rum,2 oz,2
Casa Blanca,Cocktail Classics,8,2,lime juice,1.5 oz,1.5
Casa Blanca,Cocktail Classics,8,3,triple sec,1.5 oz,1.5
Casa Blanca,Cocktail Classics,8,4,maraschino,1.5 oz,1.5
Caribbean Champagne,Cocktail Classics,9,1,light rum,.5 oz,0.5
Amber Amour,Cordials and Liqueurs,10,1,amaretto,1.5 oz,1.5
Amber Amour,Cordials and Liqueurs,10,2,lemon juice,.25 oz,0.25
Amber Amour,Cordials and Liqueurs,10,3,simple syrup,.25 oz,0.25
The Joe Lewis,Whiskies,11,4,lemon juice,.5 oz,0.5
Bacardi Cocktail,Cocktail Classics,12,2,lime juice,.5 oz,0.5
Bacardi Cocktail,Cocktail Classics,12,3,grenadine,.5 oz,0.5
Apple Pie No. 1,Cocktail Classics,13,1,light rum,.75 oz,0.75
Apple Pie No. 1,Cocktail Classics,13,2,sweet vermouth,.75 oz,0.75
Apple Pie No. 1,Cocktail Classics,13,3,apple brandy,1 oz,1
Apple Pie No. 1,Cocktail Classics,13,4,grenadine,.5 oz,0.5
Apple Pie No. 1,Cocktail Classics,13,5,lemon juice,1 oz,1
Yolanda,Cocktail Classics,14,1,brandy,.5 oz,0.5
Yolanda,Cocktail Classics,14,2,gin,.5 oz,0.5
Yolanda,Cocktail Classics,14,3,anisette,.5 oz,0.5
Yolanda,Cocktail Classics,14,4,sweet vermouth,1 oz,1
Yolanda,Cocktail Classics,14,5,grenadine,1 oz,1
Yellow Rattler,Cocktail Classics,15,1,gin,1 oz,1
Yellow Rattler,Cocktail Classics,15,2,orange juice,1 oz,1
Yellow Rattler,Cocktail Classics,15,3,dry vermouth,.5 oz,0.5
Yellow Rattler,Cocktail Classics,15,4,sweet vermouth,.5 oz,0.5
Why Not?,Cocktail Classics,16,1,gin,1 oz,1
Why Not?,Cocktail Classics,16,2,apricot flavored brandy,1 oz,1
Why Not?,Cocktail Classics,16,3,dry vermouth,.5 oz,0.5
Why Not?,Cocktail Classics,16,4,lemon juice,1 oz,1
Amaretto Stinger,Cordials and Liqueurs,17,1,amaretto,1.5 oz,1.5
What The Hell,Cocktail Classics,18,1,gin,1 oz,1
What The Hell,Cocktail Classics,18,2,dry vermouth,1 oz,1
What The Hell,Cocktail Classics,18,3,apricot flavored brandy,1 oz,1
What The Hell,Cocktail Classics,18,4,lemon juice,1 oz,1
Webster Cocktail,Cocktail Classics,19,1,lime juice,.5 oz,0.5
Webster Cocktail,Cocktail Classics,19,2,apricot flavored brandy,1.5 oz,1.5
Webster Cocktail,Cocktail Classics,19,3,dry vermouth,.5 oz,0.5
Webster Cocktail,Cocktail Classics,19,4,gin,1 oz,1
Union Jack Cocktail,Cocktail Classics,20,2,gin,1.5 oz,1.5
Union Jack Cocktail,Cocktail Classics,20,3,grenadine,.5 oz,0.5
Jocose Julep,Whiskies,21,1,bourbon whiskey,2.5 oz,2.5
Jocose Julep,Whiskies,21,3,lime juice,1 oz,1
Jocose Julep,Whiskies,21,4,simple syrup,.5 oz,0.5
Trinity Cocktail,Cocktail Classics,22,1,sweet vermouth,.75 oz,0.75
Trinity Cocktail,Cocktail Classics,22,2,dry vermouth,.75 oz,0.75
Trinity Cocktail,Cocktail Classics,22,3,gin,.75 oz,0.75
Three Stripes Cocktail,Cocktail Classics,23,1,gin,1 oz,1
Three Stripes Cocktail,Cocktail Classics,23,2,dry vermouth,.5 oz,0.5
Three Stripes Cocktail,Cocktail Classics,23,3,orange juice,1 oz,1
Tanq-A-Rita,Cocktail Classics,24,3,triple sec,1 oz,1
Amaretto Sour,Cordials and Liqueurs,25,1,amaretto,1.5 oz,1.5
Amaretto Sour,Cordials and Liqueurs,25,2,lemon juice,.75 oz,0.75
Amaretto Sour,Cordials and Liqueurs,25,3,simple syrup,.5 oz,0.5
Amaretto Sour,Cordials and Liqueurs,25,4,orange juice,1,1
Tailspin Cocktail,Cocktail Classics,26,1,gin,.75 oz,0.75
Tailspin Cocktail,Cocktail Classics,26,2,sweet vermouth,.75 oz,0.75
Tailspin Cocktail,Cocktail Classics,26,4,bitters,1 dash,0.02
Sweet Patootie Cocktail,Cocktail Classics,27,1,gin,1 oz,1
Sweet Patootie Cocktail,Cocktail Classics,27,2,triple sec,.5 oz,0.5
Sweet Patootie Cocktail,Cocktail Classics,27,3,orange juice,1 oz,1
Sunshine Cocktail,Cocktail Classics,28,1,sweet vermouth,.75 oz,0.75
Sunshine Cocktail,Cocktail Classics,28,2,gin,1.5 oz,1.5
Sunshine Cocktail,Cocktail Classics,28,3,bitters,1 dash,0.02
Spring Feeling Cocktail,Cocktail Classics,29,1,lemon juice,1 oz,1
Spring Feeling Cocktail,Cocktail Classics,29,3,gin,1 oz,1
Sphinx Cocktail,Cocktail Classics,30,1,gin,1.5 oz,1.5
Sphinx Cocktail,Cocktail Classics,30,2,sweet vermouth,1.5 oz,1.5
Sphinx Cocktail,Cocktail Classics,30,3,dry vermouth,1.5 oz,1.5
Jitterbug Sour,Whiskies,31,1,straight rye whiskey,2 oz,2
Jitterbug Sour,Whiskies,31,2,benedictine,.5 oz,0.5
Jitterbug Sour,Whiskies,31,3,lemon juice,.75 oz,0.75
Jitterbug Sour,Whiskies,31,5,egg white,1 oz,1
Jitterbug Sour,Whiskies,31,6,bitters,1 dash,0.02
Southern Gin Cocktail,Cocktail Classics,32,1,gin,2 oz,2
Southern Gin Cocktail,Cocktail Classics,32,2,bitters,2 dash,0.04
Southern Gin Cocktail,Cocktail Classics,32,3,triple sec,.5 oz,0.5
Society Cocktail,Cocktail Classics,33,1,gin,1.5 oz,1.5
Society Cocktail,Cocktail Classics,33,2,dry vermouth,.75 oz,0.75
Society Cocktail,Cocktail Classics,33,3,grenadine,.25 oz,0.25
Snyder,Cocktail Classics,34,1,gin,1.5 oz,1.5
Snyder,Cocktail Classics,34,2,dry vermouth,.5 oz,0.5
Snyder,Cocktail Classics,34,3,triple sec,.5 oz,0.5
Smiler Cocktail,Cocktail Classics,35,1,sweet vermouth,.5 oz,0.5
Smiler Cocktail,Cocktail Classics,35,2,dry vermouth,.5 oz,0.5
Smiler Cocktail,Cocktail Classics,35,3,gin,1 oz,1
Smiler Cocktail,Cocktail Classics,35,4,bitters,1 dash,0.02
Smiler Cocktail,Cocktail Classics,35,5,orange juice,.25 oz,0.25
Smile Cocktail,Cocktail Classics,36,1,grenadine,1 oz,1
Smile Cocktail,Cocktail Classics,36,2,gin,1 oz,1
Smile Cocktail,Cocktail Classics,36,3,lemon juice,.5 oz,0.5
Amaretto Rose,Cordials and Liqueurs,37,1,amaretto,1.5 oz,1.5
Amaretto Rose,Cordials and Liqueurs,37,2,lemon juice,.5 oz,0.5
Amaretto Rose,Cordials and Liqueurs,37,3,simple syrup,.5 oz,0.5
Sand-Martin Cocktail,Cocktail Classics,38,2,sweet vermouth,1.5 oz,1.5
Sand-Martin Cocktail,Cocktail Classics,38,3,gin,1.5 oz,1.5
Irish Whiskey Highball,Whiskies,39,3,lemon juice,1 oz,1
Japanese,Brandy,40,1,brandy,2 oz,2
Japanese,Brandy,40,3,bitters,2 dash,0.04
Roselyn Cocktail,Cocktail Classics,41,1,dry vermouth,.75 oz,0.75
Roselyn Cocktail,Cocktail Classics,41,2,gin,1.5 oz,1.5
Roselyn Cocktail,Cocktail Classics,41,3,grenadine,.5 oz,0.5
Resolute Cocktail,Cocktail Classics,42,1,lemon juice,.25 oz,0.25
Resolute Cocktail,Cocktail Classics,42,2,apricot flavored brandy,.5 oz,0.5
Resolute Cocktail,Cocktail Classics,42,3,gin,1 oz,1
Racquet Club Cocktail,Cocktail Classics,43,1,gin,1.5 oz,1.5
Racquet Club Cocktail,Cocktail Classics,43,2,dry vermouth,.75 oz,0.75
Racquet Club Cocktail,Cocktail Classics,43,3,bitters,1 dash,0.02
Amaretto And Cream,Cordials and Liqueurs,44,1,amaretto,1.5 oz,1.5
Amaretto And Cream,Cordials and Liqueurs,44,2,half and half,1.5 oz,1.5
Pollyanna Cocktai,Cocktail Classics,45,1,orange juice,3 oz,3
Pollyanna Cocktai,Cocktail Classics,45,3,gin,2 oz,2
Pollyanna Cocktai,Cocktail Classics,45,4,sweet vermouth,.5 oz,0.5
Pollyanna Cocktai,Cocktail Classics,45,5,grenadine,.5 oz,0.5
Plaza Cocktail,Cocktail Classics,46,1,sweet vermouth,.75 oz,0.75
Plaza Cocktail,Cocktail Classics,46,2,dry vermouth,.75 oz,0.75
Plaza Cocktail,Cocktail Classics,46,3,gin,.75 oz,0.75
Irish Whiskey Cocktail,Whiskies,47,2,triple sec,.5 oz,0.5
Irish Whiskey Cocktail,Whiskies,47,3,anisette,.5 oz,0.5
Irish Whiskey Cocktail,Whiskies,47,4,maraschino,.25 oz,0.25
Irish Whiskey Cocktail,Whiskies,47,5,bitters,1 dash,0.02
Absinthe Special Cocktail,Cordials and Liqueurs,48,2,simple syrup,.25 oz,0.25
Absinthe Special Cocktail,Cordials and Liqueurs,48,3,bitters,1 dash,0.02
Nineteenth Hole,Cocktail Classics,49,1,gin,1.5 oz,1.5
Nineteenth Hole,Cocktail Classics,49,2,dry vermouth,1 oz,1
